"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=M&datecode=202111&tab=overview&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Wed Mar 23 2022 10:36:44 GMT-0400 (Eastern Daylight Saving Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types","Primary Technology"
"WAL5316",64956,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL536",64795,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL537",64796,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL5388",64957,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL546",64797,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL5479",64958,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL5480",64959,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL5612",64960,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL5713",64961,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL5764",64962,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL602",64799,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL6929",64963,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL744",64800,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL752",64801,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL768",64802,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL772",64803,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL791",64804,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL849",64805,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL872",64806,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL896",64807,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL897",64808,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL940",64809,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL947",64810,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WAL972",64812,"TX","Commercial Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"WC Landfill Energy LLC",57848,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"WCROC Wind Farm",57823,"MN","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"WEA Texas Bayonne",57383,"NJ","Electric Utility","PV","SUN","Solar Photovoltaic"
"WED Coventry 1",59301,"RI","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"WED Coventry 2",59302,"RI","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"WED Coventry 3",59305,"RI","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"WED Coventry 4",59306,"RI","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"WED Coventry 5",59313,"RI","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"WED Coventry 6",59314,"RI","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"WED Coventry Seven, LLC",64333,"RI","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"WED GW Solar, LLC",62118,"RI","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"WED Green Hill, LLC",62106,"RI","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"WED Kingstown Solar I - East Array",61622,"RI","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"WED Kingstown Solar I, LLC - West",61612,"RI","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"WED NK Green",59295,"RI","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"WED Plainfield II, LLC",62107,"RI","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"WED Plainfield III, LLC",62108,"RI","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"WED Plainfield, LLC",62109,"RI","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"WED Portsmouth One, LLC",61002,"RI","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"WED Shun I, LLC",62110,"RI","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"WED Shun II, LLC",62111,"RI","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"WED Shun III, LLC",62112,"RI","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"WED Stilson Solar",61613,"RI","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"WFEC GenCo LLC",55655,"OK","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"WHA Southbridge Solar Park CSG",61934,"DE","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"WLWPCF Cogeneration Facility",64663,"OR","Commercial CHP","IC","OBG","Other Waste Biomass"
"WSMR I",58010,"NM","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"WWRF Solar Plant",56922,"CO","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"WWTP Power Generation Station",56036,"CA","Commercial CHP","IC","OBG","Other Waste Biomass"
"WYM 1250 Palmer LLC",60614,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wabash Valley Power IGCC",57842,"IN","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Wabasha Holdco Solar CSG",60838,"MN","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wabasha Solar",62800,"MN","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Waco Farm",58863,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Waddell",7164,"AZ","Electric Utility","PS","WAT","Hydroelectric Pumped Storage"
"Wadesboro 4",62627,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wadesboro Farm 1",61087,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wadesboro Farm 2",60575,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wadesboro Farm 3",60576,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wadesboro Solar",61129,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wadham Energy LP",50293,"CA","IPP Non-CHP","ST","AB","Other Waste Biomass"
"Wading River",7146,"NY","Electric Utility","GT","DFO","Petroleum Liquids"
"Wagner Wind LLC",58233,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Wagon Trail LLC",56974,"OR","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Wagstaff Farm 1",58862,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wagyu",63273,"TX","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wahoo",2310,"NE","Electric Utility","IC","DFO, NG","Multiple"
"Waiau",766,"HI","Electric Utility","GT, ST","DFO, RFO","Petroleum Liquids"
"Waiau Hydro",774,"HI","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Waihonu North Solar",58655,"HI","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Waihonu South Solar",58656,"HI","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wailuku River Hydroelectric",54827,"HI","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Waimea",768,"HI","Electric Utility","IC","DFO","Petroleum Liquids"
"Wainiha Hydro",10413,"HI","Industrial Non-CHP","HY","WAT","Conventional Hydroelectric"
"Waipio Peninsula",64190,"HI","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Waipio Solar",60024,"HI","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wake County LFG Facility",59688,"NC","IPP Non-CHP","IC","LFG","Landfill Gas"
"Wake Wind Energy Center",58766,"TX","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"WakeSun LLC",60694,"MN","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wakefern Food Corp",58123,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wakefield",2311,"NE","Electric Utility","IC","DFO","Petroleum Liquids"
"Wakefield Solar",61536,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wal-Mart Truth or Consequences PV",60341,"NM","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Walcott Solar CSG",62707,"MN","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Walden",10848,"NY","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Walden NY 1",63855,"NY","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Walgreens Woodland Distribution Center",57006,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wallace",59050,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wallace Dam",6087,"GA","Electric Utility","HY, PS","WAT","Multiple"
"Wallenpaupack",3153,"PA","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Wallingford Energy",55517,"CT","IPP Non-CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Wallingford Solar",64559,"CT","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wallowa Falls",3041,"OR","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Walmart Casa Grande",57939,"AZ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Walnut",4256,"CA","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Walnut Creek Energy Park",57515,"CA","IPP Non-CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Walnut Energy Center",56078,"CA","Electric Utility","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Walnut Ridge Wind Farm",58694,"IL","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Walnut Springs Solar",61370,"TX","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Walnut Unified School District Walnut HS Hybrid",63510,"CA","IPP Non-CHP","BA, PV","MWH, SUN","Multiple"
"Walnut Wind Farm",56811,"IA","Electric Utility","WT","WND","Onshore Wind Turbine"
"Walpole Solar 2",58936,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Walt Disney World Solar Facility",59973,"FL","Electric Utility","PV","SUN","Solar Photovoltaic"
"Walter Bouldin Dam",4,"AL","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Walter C Beckjord",2830,"OH","Electric Utility","BA","MWH","Batteries"
"Walter F George",761,"GA","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Walter Scott Jr Energy Center",1082,"IA","Electric Utility","ST","RC","Conventional Steam Coal"
"Walters",2715,"NC","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Walters Solar (FLS 260)",59603,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Walterville",3071,"OR","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Walton 1 Solar Facility",61311,"KY","Electric Utility","PV","SUN","Solar Photovoltaic"
"Walton 2 Solar Facility",61312,"KY","Electric Utility","PV","SUN","Solar Photovoltaic"
"Walton Bainbridge Power Facility",56015,"GA","IPP Non-CHP","GT","DFO","Petroleum Liquids"
"Walton County Power LLC",55128,"GA","IPP Non-CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Walton Discover Power Facility",55138,"AL","IPP Non-CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Walton Street Substation",56598,"MO","Electric Utility","IC","DFO","Petroleum Liquids"
"Wamego",1328,"KS","Electric Utility","IC","NG","Natural Gas Internal Combustion Engine"
"Wanapum",3888,"WA","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Wanship",3698,"UT","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Wansley",6052,"GA","Electric Utility","GT, ST","BIT, DFO","Multiple"
"Wansley Combined Cycle",55965,"GA","IPP Non-CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Wansley Unit 9",7946,"GA","Electric Utility","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Wapakoneta-Pratt",65258,"OH","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wapello Solar LLC",63378,"IA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wappinger 9D Solar",64041,"NY","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wappinger Falls Hydroelectric",54573,"NY","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Wapsie Valley Creamery Back Up Generator",59379,"IA","Industrial Non-CHP","IC","DFO","Petroleum Liquids"
"Wapsipinicon Wind Project",56876,"MN","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Warbler Holdings",60393,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Ward Butte Windfarm LLC",56975,"OR","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Ward WTP",57607,"NC","Electric Utility","IC","DFO","Petroleum Liquids"
"Ware Avra I",64285,"GA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Ware Avra II",64286,"GA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Ware Palmer Road Solar LLC CSG",64128,"MA","IPP Non-CHP","BA, PV","MWH, SUN","Multiple"
"Ware Shoals Hydro Project",10801,"SC","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Wareham MA 1 Community Solar",60443,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Wareham Solar PV",62055,"MA","Electric Utility","PV","SUN","Solar Photovoltaic"
"Warm Springs Hydro Project",54261,"CA","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Warm Springs Power Enterprises",54721,"OR","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Warner Lambert",54604,"MI","Commercial CHP","GT, IC","DFO, NG","Multiple"
"Warren",3132,"PA","IPP Non-CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Warren County",55939,"VA","Electric Utility","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Warren County Solar",56888,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Warren DPC Solar",60890,"WI","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Warren F Sam Beasley Generation Station",7962,"DE","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Warren Solar Farm LLC",62223,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Warrensburg Hydroelectric",10218,"NY","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Warrenton Farm",58312,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Warrenton I Solar",62100,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Warrenton Terminal",8867,"OH","Electric Utility","--","--","--"
"Warrick",6705,"IN","IPP CHP","ST","BIT","Conventional Steam Coal"
"Warrior Ridge Hydro",10152,"PA","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Warsaw Farm",58848,"NC","Electric Utility","PV","SUN","Solar Photovoltaic"
"Warsaw I",59119,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Warsaw II",59120,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Warsaw Solar CSG",62709,"MN","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Waseca Solar",60532,"MN","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"WasecaSun",61142,"MN","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Washburn Road Solar",62646,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Washington",1329,"KS","Electric Utility","IC","DFO","Petroleum Liquids"
"Washington Airport Solar LLC",58845,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Washington City Electric Generation",59660,"UT","Electric Utility","IC","NG","Natural Gas Internal Combustion Engine"
"Washington County Cogeneration Facility",7697,"AL","Electric Utility","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Washington County Power LLC",55332,"GA","IPP Non-CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Washington Energy Facility",55397,"OH","IPP Non-CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Washington Island",4148,"WI","Electric Utility","IC","DFO","Petroleum Liquids"
"Washington Millfield Solar, LLC",58846,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Washington Parish Energy Center",55486,"LA","IPP Non-CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Washington St Community Solar Farm #1",62472,"NY","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Washington St Community Solar Farm #3",62473,"NY","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Washington St Community Solar Farm #4",62471,"NY","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Washington White Post Solar LLC",58135,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Washingtonville(CSG)",64562,"NY","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Washoe",6532,"NV","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Wasson CO2 Removal Plant",52122,"TX","Industrial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Waste Management Arden LFGTE",57014,"PA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Waste Management Bethel LFGTE",56531,"VA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Waste Management Columbia Ridge LFGTE",57015,"OR","IPP Non-CHP","IC","LFG","Landfill Gas"
"Waste Management Crossroads LFGTE",57016,"ME","IPP Non-CHP","IC","LFG","Landfill Gas"
"Waste Management Eco Vista LFGTE",57025,"AR","IPP Non-CHP","IC","LFG","Landfill Gas"
"Waste Management King George LFGTE",57022,"VA","IPP Non-CHP","GT","LFG","Landfill Gas"
"Waste Management Lockwood LFGTE",57166,"NV","IPP Non-CHP","IC","LFG","Landfill Gas"
"Waste Management Madison County LFGTE",57021,"NY","IPP Non-CHP","IC","LFG","Landfill Gas"
"Waste Management Middle Peninsula LFGTE",57018,"VA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Waste Management Naples LFGTE Project",57168,"FL","IPP Non-CHP","IC","LFG","Landfill Gas"
"Waste Management Northern Oaks LFGTE",57024,"MI","IPP Non-CHP","IC","LFG","Landfill Gas"
"Waste Management Piedmont LFGTE Project",57169,"NC","IPP Non-CHP","IC","LFG","Landfill Gas"
"Waste Management Rolling Meadows LFGTE",57023,"KS","IPP Non-CHP","IC","LFG","Landfill Gas"
"Waste Mangement Redwood LFGTE",59299,"CA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Waste Water Plant Generator",56022,"KS","Electric Utility","IC","DFO","Petroleum Liquids"
"Waste Water Treatment Plant",59060,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Watauga",3418,"TN","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Watauga Solar",61951,"SC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Watchtower Educational Center",55619,"NY","Commercial Non-CHP","IC","DFO, NG","Multiple"
"Water Filter Plant #2",55534,"NC","Electric Utility","IC","DFO","Petroleum Liquids"
"Water Reclamation Plant",58617,"MN","Commercial CHP","IC","OBG","Other Waste Biomass"
"Water Street Station",7398,"MI","Electric Utility","IC","NG","Natural Gas Internal Combustion Engine"
"Water Strider Solar",63549,"VA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Water Treatment 1 & 2",57605,"CT","Electric Utility","IC","DFO","Petroleum Liquids"
"Water Treatment Plant Generators",56368,"VA","Electric Utility","IC","DFO","Petroleum Liquids"
"Waterbury 22",6520,"VT","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Waterbury Generation",56629,"CT","IPP Non-CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Wateree",3297,"SC","Electric Utility","ST","BIT","Conventional Steam Coal"
"Wateree Hydro",3270,"SC","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Waterford 1 & 2",8056,"LA","Electric Utility","GT, ST","DFO, NG","Multiple"
"Waterford 3",4270,"LA","Electric Utility","ST","NUC","Nuclear"
"Waterford Holdco CSG",61452,"MN","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Waterford Power, LLC",55503,"OH","IPP Non-CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Waterloo",971,"IL","Electric Utility","GT, IC","DFO, NG","Multiple"
"Waterloo Hydroelectric Project",61642,"NY","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Waterloo Lundquist",7851,"IA","Electric Utility","IC","DFO","Petroleum Liquids"
"Waterloo Solar, LLC",58796,"IN","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Waterport",2623,"NY","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Waters River",1678,"MA","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Waterside Power, LLC",56189,"CT","IPP Non-CHP","GT","DFO","Petroleum Liquids"
"Watertown",2700,"NY","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Watertown Power Plant",7247,"SD","Electric Utility","GT","DFO","Petroleum Liquids"
"Watertown Solar One, LLC",64979,"CT","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
